cudaMalloc(D0 (0x7f0fc5600000), 200000 bytes)
cudaMemcpyAsync(cudaMemcpyHostToDevice) D118(0x7f0fc5bf0000) <- H118(0x55ff70523f80), 1000 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D119(0x7f0fc5bf1000) <- H119(0x55ff70525240), 1000 bytes) [time: 0.002 ms]

cudaMalloc(D120 (0x7f0fc3c00000), 200000 bytes)

cudaMemcpyAsync(cudaMemcpyHostToDevice) D120(0x7f0fc3c00000) <- H120(0x7f102de86040), 100000 bytes) [time: 0.064 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D121(0x7f0fc5bf2000) <- H121(0x55ff70528dc0), 400 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D122(0x7f0fc5bf2400) <- H122(0x55ff70529480), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D123(0x7f0fc2d40000) <- H123(0x7f102dc45040), 240000 bytes) [time: 0.172 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D124(0x7f0fc5bf2800) <- H124(0x55ff7052abc0), 400 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D125(0x7f0fc5bf2c00) <- H125(0x55ff7052b280), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D126(0x7f0fc3d00000) <- H126(0x7f102db44040), 100000 bytes) [time: 0.063 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D127(0x7f0fc5bf3000) <- H127(0x55ff7052c940), 1000 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D128(0x7f0fc5bf4000) <- H128(0x55ff7052dc00), 1000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D129(0x7f0fc2f80000) <- H129(0x7f102d943040), 200000 bytes) [time: 0.144 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D130(0x7f0fc5bf5000) <- H130(0x55ff70472740), 800 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D131(0x7f0fc5bf5800) <- H131(0x55ff70536c40), 800 bytes) [time: 0.002 ms]

cudaMalloc(D132 (0x7f0fc0000000), 1400000 bytes)

cudaMemcpyAsync(cudaMemcpyHostToDevice) D132(0x7f0fc0000000) <- H132(0x7f102d042040), 900000 bytes) [time: 0.759 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D133(0x7f0fc5bf6000) <- H133(0x55ff6fe17040), 800 bytes) [time: 0.004 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D134(0x7f0fc5bf6800) <- H134(0x55ff7053ad00), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D135(0x7f0fc0900000) <- H135(0x7f102cc41040), 400000 bytes) [time: 0.32 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D136(0x7f0fc5bf7000) <- H136(0x55ff7053cc00), 2000 bytes) [time: 0.004 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D137(0x7f0fc5bf9000) <- H137(0x55ff7053eec0), 2000 bytes) [time: 0.003 ms]

cudaMalloc(D138 (0x7f0fbe000000), 1400000 bytes)

cudaMemcpyAsync(cudaMemcpyHostToDevice) D138(0x7f0fbe000000) <- H138(0x7f102c440040), 800000 bytes) [time: 0.673 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D139(0x7f0fc5bfb000) <- H139(0x55ff70545a00), 2000 bytes) [time: 0.004 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D140(0x7f0fc5bfd000) <- H140(0x55ff70547cc0), 2000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D141(0x7f0fc0d00000) <- H141(0x7f102c03f040), 400000 bytes) [time: 0.328 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D142(0x7f0fc5bff000) <- H142(0x55ff7054e880), 800 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D143(0x7f0fc5bff800) <- H143(0x55ff7054f340), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D144(0x7f0fbe800000) <- H144(0x7f102b73e040), 900000 bytes) [time: 0.763 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D145(0x7f0fc57d3000) <- H145(0x55ff70551640), 800 bytes) [time: 0.004 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D146(0x7f0fc57d3800) <- H146(0x55ff70552100), 800 bytes) [time: 0.017 ms]

cudaMalloc(D147 (0x7f102c000000), 1400000 bytes)

cudaMemcpyAsync(cudaMemcpyHostToDevice) D147(0x7f102c000000) <- H147(0x7f102b33d040), 400000 bytes) [time: 0.332 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D148(0x7f0fc57d4000) <- H148(0x55ff70554440), 2000 bytes) [time: 0.004 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D149(0x7f0fc57d6000) <- H149(0x55ff70556700), 2000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D150(0x7f102c400000) <- H150(0x7f102af3c040), 400000 bytes) [time: 0.321 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D151(0x7f0fc57d8000) <- H151(0x55ff7055d280), 800 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D152(0x7f0fc57d8800) <- H152(0x55ff7055dd40), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D153(0x7f102c800000) <- H153(0x7f102a63b040), 900000 bytes) [time: 0.767 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D154(0x7f0fc57d9000) <- H154(0x55ff70560740), 800 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D155(0x7f0fc57d9800) <- H155(0x55ff70561200), 800 bytes) [time: 0.002 ms]

cudaMalloc(D156 (0x7f0fbc000000), 1400000 bytes)

cudaMemcpyAsync(cudaMemcpyHostToDevice) D156(0x7f0fbc000000) <- H156(0x7f102a23a040), 400000 bytes) [time: 0.328 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D157(0x7f0fc57da000) <- H157(0x55ff70563d00), 2000 bytes) [time: 0.004 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D158(0x7f0fc57dc000) <- H158(0x55ff70565e40), 2000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D159(0x7f0fbc400000) <- H159(0x7f1029a69040), 7d0000 bytes) [time: 0.656 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D160(0x7f0fc57de000) <- H160(0x55ff7056d100), fa0 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D161(0x7f0fc57df000) <- H161(0x55ff6ff85940), 100 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D162(0x7f0fc57df200) <- H162(0x55ff70219d00), 100 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D163(0x7f0fc57df400) <- H163(0x55ff702112c0), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D164(0x7f0fc57df600) <- H164(0x55ff70225180), 100 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D165(0x7f0fc57df800) <- H165(0x55ff70226740), 100 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D166(0x7f0fc57dfa00) <- H166(0x55ff6ff34ac0), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D167(0x7f0fc57dfc00) <- H167(0x55ff6fe12c40), 100 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D168(0x7f0fc57dfe00) <- H168(0x55ff6fe1e300), 100 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D169(0x7f0fc57e0000) <- H169(0x55ff70226640), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D170(0x7f0fc57e0200) <- H170(0x55ff702259c0), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D171(0x7f0fc57e0600) <- H171(0x55ff6fe1cc80), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D172(0x7f0fc57e0a00) <- H172(0x55ff6fe1e680), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D173(0x7f0fc57e0c00) <- H173(0x55ff70228440), 400 bytes) [time: 0.002 ms]

